Topic 1,Topic 2,Topic 3,Topic 4,Topic 5
0.10002218383732298,0.10002266372638353,0.10002206809092452,0.5999106653327934,0.10002241901257569
0.5999077137320429,0.10002326053726618,0.10002264916321559,0.10002336721054196,0.10002300935693337
0.10002218383732374,0.10002266372638628,0.10002206809092856,0.5999106653327868,0.1000224190125746
0.10002228560970244,0.5999101510790583,0.10002216933053616,0.10002287211319529,0.10002252186750779
0.10002218383732628,0.10002266372638703,0.10002206809092529,0.5999106653327861,0.10002241901257533
0.10002218383732331,0.10002266372638563,0.10002206809092518,0.599910665332791,0.1000224190125749
0.5999077137320716,0.10002326053725913,0.10002264916320888,0.10002336721053617,0.10002300935692429
0.5999077137320097,0.10002326053727267,0.10002264916322749,0.10002336721055427,0.10002300935693592
0.1000225289919818,0.10002301637343199,0.10002241143865329,0.1000231219230389,0.5999089212728941
0.10002288746255385,0.10002338262642851,0.5999071099263288,0.10002348986161365,0.10002313012307526
0.10002252899198974,0.10002301637343805,0.10002241143865534,0.1000231219230449,0.5999089212728719
0.5999077137320734,0.1000232605372573,0.10002264916320835,0.10002336721053781,0.10002300935692324
0.599907713732051,0.10002326053726457,0.10002264916321457,0.10002336721054125,0.10002300935692875
0.10002252899198036,0.10002301637343347,0.10002241143865256,0.10002312192303855,0.599908921272895
0.10002288746254988,0.10002338262642711,0.5999071099263419,0.10002348986160813,0.10002313012307294
0.10002288746254967,0.10002338262643168,0.5999071099263302,0.10002348986161048,0.1000231301230779
0.5999077137320327,0.10002326053726832,0.10002264916321763,0.10002336721054685,0.1000230093569345
0.10002218383732686,0.10002266372638734,0.1000220680909274,0.5999106653327835,0.100022419012575
0.5999077137320536,0.1000232605372626,0.10002264916321198,0.10002336721054193,0.10002300935692991
0.5999077137320451,0.10002326053726768,0.10002264916321364,0.10002336721054274,0.10002300935693077
0.10002218383732381,0.10002266372638426,0.1000220680909257,0.5999106653327902,0.10002241901257591
0.10002218383732449,0.10002266372638849,0.10002206809092727,0.599910665332783,0.10002241901257675
0.10002288746254419,0.10002338262642459,0.5999071099263521,0.1000234898616081,0.10002313012307101
0.10002218383732425,0.10002266372638599,0.10002206809092565,0.5999106653327893,0.10002241901257486
0.1000222856097065,0.5999101510790403,0.10002216933053994,0.10002287211319927,0.10002252186751397
0.10002218383732263,0.1000226637263854,0.10002206809092486,0.5999106653327942,0.1000224190125729
0.10002252899197914,0.10002301637343375,0.10002241143865002,0.1000231219230374,0.5999089212728997
0.10002288746254563,0.10002338262642359,0.5999071099263567,0.10002348986160466,0.10002313012306943
0.5999077137320603,0.10002326053726275,0.10002264916321123,0.1000233672105394,0.10002300935692632
0.10002218383732747,0.10002266372638881,0.10002206809092974,0.599910665332779,0.10002241901257501
0.1000221838373249,0.10002266372638549,0.1000220680909269,0.5999106653327855,0.10002241901257725
0.5999077137320618,0.10002326053726118,0.10002264916321008,0.10002336721054056,0.10002300935692644
